question,answer,question_type,page
Türkiye hangi iklim kuşağında yer almaktadır?,"Türkiye, yarı sıcak iklim kuşağında yer almaktadır.",Olgusal,111
Türkiye'de farklı iklim tiplerinin görülmesinin nedenleri nelerdir?,"Türkiye'de farklı iklim tiplerinin görülmesinin nedenleri, ülkenin mutlak ve göreceli konumuna bağlıdır.",Nedensel,111
Karasal iklimin özellikleri nelerdir?,"Karasal iklimde yazlar sıcak ve kurak, kışlar soğuk ve kar yağışlıdır. Sıcaklık yazın 40 dereceye kadar çıkabilirken, kışın -30 derecelere kadar düşebilir.",Listeleme,111
Akdeniz iklimi hangi bölgelerde etkilidir ve özellikleri nelerdir?,"Akdeniz iklimi, Türkiye'nin güneyinde ve batısında etkilidir. Yazları sıcak ve kurak, kışları ılık ve yağışlıdır. Kar yağışı nadiren görülür.",Olgusal,111
Karadeniz ikliminin temel özellikleri nelerdir?,"Karadeniz ikliminde dört mevsim yağış görülür. Yazları sıcak, kışları ılık ve yağışlıdır. Bu iklimin görüldüğü yerlerde geniş yapraklı ağaçlar yaygındır.",Olgusal,111
Harita 3.8'de ne gösterilmektedir?,Harita 3.8'de Türkiye'de görülen iklimler ve bu iklimlerin görüldüğü yerler gösterilmektedir.,Olgusal,111
Edirne ve çevresinde karasal iklimin etkili olmasının olası nedenleri neler olabilir?,"Edirne ve çevresinde karasal iklimin etkili olmasının nedeni, denize olan uzaklığı ve yükseltisi olabilir. Bu faktörler, deniz etkisinin azalmasına ve karasal özelliklerin belirginleşmesine yol açar.",Varsayımsal,111
Ülkemizin büyük bir bölümünde karasal iklimin görülmesinin sebepleri nelerdir?,"Ülkemizin büyük bir bölümünde karasal iklimin görülmesinin sebepleri arasında, deniz etkisinden uzak iç bölgelerde yer alması ve yükseltinin fazla olması sayılabilir.",Nedensel,111
Karadeniz ve Akdeniz ikliminin kıyı kesimlerde görülmesinin sebepleri nelerdir?,"Karadeniz ve Akdeniz ikliminin kıyı kesimlerde görülmesinin sebepleri, denizlerin ılımanlaştırıcı etkisidir. Denizler, sıcaklıkları dengeler ve kıyı bölgelerinde daha ılıman iklimlerin oluşmasına neden olur.",Nedensel,111
Türkiye'deki iklim tiplerinin insan yaşamı üzerindeki etkileri nelerdir?,"Türkiye'deki iklim tipleri, tarım ürünlerinden giyim alışkanlıklarına, konut tipinden enerji tüketimine kadar birçok alanda insan yaşamını etkiler. Örneğin, Akdeniz ikliminde yazlık kıyafetler daha yaygınken, karasal iklimde kışlık ve kalın giysiler tercih edilir.",Yansıtıcı,111
