question,answer,question_type,page
Türkiye'de ekonomik faaliyetlerin gelişmesinde hangi faktörler önemlidir?,"Verimli topraklar, sanayi için ham madde, ormanlar, turizm için tarihi varlıklar ve doğal güzellikler, madencilik için yer altı kaynakları ekonomik faaliyetlerin gelişmesinde önemlidir.",Olgusal,11
Türkiye'nin ekonomik kaynakları nelerdir?,"Türkiye'nin ekonomik kaynakları topraklar, hayvancılık faaliyetleri, su kaynakları, turizm varlıkları, ormanlar, madenler ve insan kaynaklarıdır.",Listeleme,11
İç bölgelerimizde yetiştirilen başlıca ürünler nelerdir ve bu durumun nedeni nedir?,"İç bölgelerimizde buğday, arpa ve şeker pancarı gibi ürünler yetiştirilir. Bu durum, bölgedeki sıcaklık ve yağış özelliklerine bağlı olarak verimli toprakların bulunmasından kaynaklanır.",Nedensel,11
Karadeniz Bölgesi'nde hangi ürünlerin yetiştirilmesi yaygındır ve bunun sebebi nedir?,Karadeniz Bölgesi'nde fındık (Ordu ve Giresun) ve çay (Rize) yetiştirilmesi yaygındır. Bunun sebebi bölgedeki yağışların bol ve düzenli olmasıdır.,Nedensel,11
Akdeniz ve Ege kıyılarında hangi tarım ürünleri daha çok gelişmiştir ve bu durumun iklimle ilişkisi nedir?,"Akdeniz ve Ege kıyılarında pamuk, zeytin ve meyve yetiştiriciliği gelişmiştir. Bu durum, bölgedeki ılıman iklimle ilişkilidir.",Bağlamsal,11
Büyükbaş hayvancılık en çok hangi bölgemizde yapılmaktadır ve bu bölgenin özellikleri nelerdir?,Büyükbaş hayvancılık en çok Erzurum ve Kars çevresinde yapılmaktadır. Bu bölgede yaz yağışları ile yeşeren gür çayırlar ve otlaklar bulunmaktadır.,Olgusal,11
Küçükbaş hayvancılık neden ülkenin iç kısımlarında daha yaygındır?,"Küçükbaş hayvancılık, bozkır bitki örtüsünün olduğu ve engebenin fazla olmadığı ülkemizin iç kısımlarında daha yaygındır. Bozkır bitki örtüsü küçükbaş hayvanların beslenmesi için uygun ortam sağlar.",Nedensel,11
Su kaynaklarımızdan hangi alanlarda yararlanırız?,"Su kaynaklarımızdan turizm, ulaşım, balıkçılık ve hidroelektrik enerjisi elde edilmesinde yararlanırız.",Listeleme,11
Türkiye'de turizm çeşitliliği hangi bölgelerde yoğunlaşmıştır?,"Türkiye'de yaz turizmi Şanlıurfa, Ankara, Akdeniz ve Ege kıyılarında; kış turizmi Erzurum ve Bolu'da; doğa turizmi ise Nevşehir, Trabzon, Gaziantep, Karabük gibi yerlerde yoğunlaşmıştır.",Olgusal,11
Ormanların ekonomiye katkıları nelerdir?,"Ormanlar mobilya ve kağıt sanayisinin gelişmesine katkı sağlamıştır. Ayrıca çeşitli ürünlerle gıda, kozmetik ve ilaç sanayisinin hammaddeleri de ormanlarımızdan sağlanmaktadır.",Olgusal,11
Türkiye'deki önemli maden kaynakları nelerdir?,"Türkiye'deki önemli maden kaynakları taş kömürü, linyit, demir, bakır, krom ve bor'dur.",Listeleme,11
Nitelikli iş gücünün ekonomik faaliyetlerdeki rolü nedir?,Nitelikli iş gücü sayesinde üretim yapılabilmektedir. İnsanlar hizmet sektöründe görev yaparak ekonomiye katkı yapmaktadır.,Kavramsal,11
Türkiye'nin genç ve çalışkan nüfusu ekonomik açıdan ne gibi avantajlar sağlamaktadır?,"Türkiye'nin genç ve çalışkan nüfusu, insan kaynakları açısından önemli bir potansiyel oluşturarak ekonomik gelişime katkı sağlamaktadır.",Yansıtıcı,11
Gıda sanayisinin gelişimi hangi faktörlere bağlıdır?,"Gıda sanayisinin gelişimi, yetiştirilen gıda ürünlerinin işlenerek yeni ürünlerin elde edildiği yerlerde yoğunlaşmasına bağlıdır.",Nedensel,11
"Arıcılık faaliyetleri neden Muğla, Rize ve Hakkari gibi yerlerde yoğunlaşmıştır?","Arıcılık faaliyetleri Muğla, Rize ve Hakkari gibi yerlerde bitki çeşitliliğinin fazla olmasından dolayı yoğunlaşmıştır. Farklı bitki türleri arıların daha fazla bal üretmesini sağlar.",Nedensel,11
Doğal kaynakların bilinçsizce kullanılması nelere yol açabilir?,"Doğal kaynakların bilinçsizce kullanılması, bu kaynakların zarar görmesine hatta tükenmesine neden olabilir.",Nedensel,12
Su kirliliğinin nedenleri nelerdir?,"Akarsuların, göllerin ve denizlerin atıklarla ve çöplerle kirletilmesi su kirliliğine neden olur.",Nedensel,12
Taş kömürü hangi bölgemizden çıkarılır ve hangi sanayide kullanılır?,Taş kömürü Zonguldak ve çevresinden çıkarılır. Yüksek ısı elde edilen demir-çelik sanayisinde ve termik santrallerde elektrik üretiminde kullanılır.,Olgusal,12
Linyit madeni hangi amaçlarla kullanılır ve nerelerde bulunur?,"Linyit, ısı ve elektrik elde etmede kullanılır. Türkiye'de birçok yerde bulunur. Özellikle Manisa, Kütahya ve Kahramanmaraş çevresi önemli linyit madeni çıkarılan yerlerdir.",Olgusal,12
Türkiye'de petrol çıkarılan bölgeler nerelerdir ve nerelerde işlenir?,"Petrol Batman, Siirt, Adıyaman ve Diyarbakır'da çıkarılmaktadır. Ham petrol Batman, Orta Anadolu (Kırıkkale), Aliağa (İzmir), İpraş (İzmit), Ataş (Mersin) rafinerilerinde işlenmektedir.",Olgusal,12
Doğal gazın kullanım alanları nelerdir?,"Doğal gaz, bina ısınması ve elektrik üretimi gibi değişik sektörlerde kullanılmaktadır.",Olgusal,12
Yenilenebilir enerji kaynakları nelerdir?,"Yenilenebilir enerji kaynakları güneş enerjisi, rüzgâr enerjisi, hidroelektrik enerji ve jeotermal enerjidir.",Listeleme,12
Güneş enerjisinden nasıl yararlanılır ve hangi şehirlerde güneş enerjisi santralleri bulunmaktadır?,"Güneş panelleri sayesinde güneş enerjisinden elektrik üretimi ve sıcak su ihtiyacı elde edilir. Kayseri, Ankara, Balıkesir, Konya, Nevşehir, Van ve Sivas gibi şehirlerde güneş enerjisi panelleri tesisleri bulunmaktadır.",Yöntemsel,12
Rüzgâr enerjisi nasıl elde edilir ve hangi şehirlerde rüzgâr santralleri vardır?,"Rüzgârların sürekli ve etkili olduğu alanlarda kurulan rüzgâr santralleri sayesinde elde edilir. İzmir, İstanbul, Afyon, Balıkesir ve Çanakkale rüzgâr santrallerinin olduğu şehirlerdendir.",Yöntemsel,12
Hidroelektrik enerji nasıl üretilir ve Türkiye'deki önemli hidroelektrik santralleri hangileridir?,"Akarsular üzerinde yapılan barajlar sayesinde su gücünden elektrik elde edilmesidir. Atatürk Barajı, Keban Barajı, Karakaya Barajı, Hirfanlı Barajı, Altınkaya Barajı ve Seyhan Barajı elektrik üretimi yapılan önemli barajlarımızdandır.",Yöntemsel,12
Jeotermal enerji nedir ve nerelerde kullanılır?,Yer altındaki sıcak suyun yeryüzüne çıktığı yerlerde sıcak su ve su buharı gücünden elektrik enerjisi elde edilmesi amacıyla kurulan santrallerdir. Denizli ve Aydın’da jeotermal enerji santralleri vardır.,Olgusal,12
Bilinçli bir tüketici olarak kaynakları korumak neden önemlidir?,"Bilinçli bir tüketici olarak kaynakları korumak, kaynakların doğru şekilde kullanılmasını ve sonraki nesillere ulaştırılmasını sağlamak için önemlidir.",Kavramsal,12
Yenilenemeyen enerji kaynaklarının kullanımının sınırlandırılması neden gereklidir?,"Yenilenemeyen enerji kaynakları tükenebilen kaynaklar olduğu için, kullanımının sınırlandırılması bu kaynakların daha uzun süre kullanılabilmesini sağlamak ve çevreye olan olumsuz etkilerini azaltmak için gereklidir.",Nedensel,12
Türkiye'nin enerji ihtiyacını karşılama durumunu özetleyiniz.,"Türkiye, taş kömürü ve petrol gibi bazı enerji kaynaklarında dışa bağımlıdır. Doğal gaz ihtiyacının da büyük bir kısmını ithalat yoluyla karşılamaktadır. Yenilenebilir enerji kaynaklarının kullanımı artırılarak dışa bağımlılık azaltılmaya çalışılmaktadır.",Özetleme,12
"Eğer su kaynakları kirlenmeye devam ederse, gelecekte ne gibi sorunlarla karşılaşabiliriz?","Su kaynaklarının kirlenmeye devam etmesi durumunda, içme suyu kaynakları azalabilir, sulama suyu yetersiz kalabilir, suda yaşayan canlılar zarar görebilir ve genel olarak çevre sağlığı olumsuz etkilenebilir.",Varsayımsal,12
Bilinçli yatırım nedir?,"Bilinçli yatırım, bir bölgenin coğrafi özelliklerini dikkate alarak, o bölgeye uygun ekonomik faaliyetlerin ve yatırımların yapılmasıdır.",Kavramsal,13
Bir yerde ekonomik faaliyetlerin yapılabilmesi nelere bağlıdır?,"Bir yerde ekonomik faaliyetlerin ve yatırımların yapılabilmesi, o yerin iklimi, yeryüzü şekilleri, ulaşım imkânları, turizm, maden ve orman varlıkları gibi coğrafi özelliklerine bağlıdır.",Olgusal,13
Rize'de neden çay yetiştirilebilirken Konya'da buğday yetiştirilmektedir?,"Rize, yağış ve sıcaklık bakımından çay yetiştiriciliğine uygun şartlara sahipken, Konya buğday yetiştiriciliği için daha uygun iklim koşullarına sahiptir.",Nedensel,13
Erzurum ve Kars çevresinde hangi tür yatırımlar gelişmiştir ve bunun nedeni nedir?,"Erzurum ve Kars çevresinde hayvancılık ve hayvancılık ürünlerine ait yatırımlar gelişmiştir. Bunun nedeni, yeryüzü şekillerinin yükselti ve engebe bakımından hayvancılığa uygun olmasıdır.",Nedensel,13
Ülkemizin iç kesimlerinde hangi gıda ürünleri yatırımları yapılmıştır ve bu yatırımların sebebi nedir?,"Ülkemizin iç kesimlerinde un, şeker, makarna gibi gıda ürünleri yatırımları yapılmıştır. Bunun sebebi, yazların kurak kışların soğuk olması ve ovalar ile engebeli alanların buğday ve şeker pancarı üretimine uygun olmasıdır.",Nedensel,13
Turizme bağlı olarak hangi tür yatırımlar gelişmiştir?,Tarihi ve doğal güzelliklerin olduğu şehirlerde turizme bağlı olarak konaklama hizmetlerine yönelik yatırımlar gelişmiştir.,Olgusal,13
Maden işletmelerine yönelik yatırımlar hangi şehirlerde gelişmiştir?,"Zonguldak, Kütahya, Sivas, Manisa ve Afyon gibi şehirlerdeki madenlerden dolayı maden işletmelerine yönelik yatırımlar gelişmiştir.",Olgusal,13
Ormanların yoğun olduğu yerlerde hangi yatırımlar için uygun ortam vardır?,Ormanların yoğun olduğu yerlerde mobilya ve kâğıt üretimi için gerekli yatırımlara uygun ortam vardır.,Olgusal,13
