question,answer,question_type,page
Soru-cevap çiftleri oluşturulurken hangi dil tutarlılığına dikkat edilmelidir?,"Sorular ve cevaplar, verilen metnin diliyle aynı olmalıdır. Örneğin, metin Türkçe ise, sorular ve cevaplar da Türkçe olmalıdır.",Olgusal,131
Neden farklı türlerde sorular oluşturmak önemlidir?,"Farklı türlerde sorular oluşturmak, içeriğin daha kapsamlı bir şekilde anlaşılmasını sağlar. Olgusal, kavramsal, bağlamsal, nedensel, yöntemsel, analitik, varsayımsal, yansıtıcı ve spekülatif sorular, konunun farklı açılardan incelenmesine olanak tanır.",Kavramsal,131
Soru-cevap çiftlerinde zorluk dengesi nasıl sağlanmalıdır?,"Soru-cevap çiftlerinde basit, orta ve karmaşık sorular dahil edilerek zorluk dengesi sağlanmalıdır. Bu, farklı bilgi seviyelerine sahip kişilerin içeriği anlamasına yardımcı olur.",Yöntemsel,131
Yanıt hassasiyeti neden önemlidir ve nasıl sağlanmalıdır?,"Yanıt hassasiyeti, sağlanan içeriğe dayalı özlü ve doğru yanıtlar verilmesini gerektirir. Yanıtlar çok kısa olmamalı, ancak konuyu açıkça açıklamak için yeterli bağlamı içermelidir.",Kavramsal,131
"""Evet"" veya ""Hayır"" gibi aşırı kısa yanıtlardan neden kaçınılmalıdır?","""Evet"" veya ""Hayır"" gibi aşırı kısa yanıtlardan kaçınılmalıdır çünkü bu tür yanıtlar, bilginin ardındaki gerekçeyi anlamak için gerekli bağlamı sağlamaz.",Nedensel,131
Bağlam farkındalığı soru oluşturma sürecinde neden önemlidir?,"Bağlam farkındalığı, tüm soruların verilen metnin içeriğine derinlemesine kök salmasını ve materyalin amacını ve nüanslarını anlamasını sağlar.",Kavramsal,131
Soru-cevap çiftleri oluşturulurken tekrardan kaçınmanın önemi nedir?,"Soru-cevap çiftleri oluşturulurken tekrardan kaçınmak, her sorunun belirgin ve benzersiz olmasını sağlar, böylece öğrenme deneyimi daha verimli hale gelir.",Kavramsal,131
Olgusal sorulara bir örnek verin.,"""X ne anlama gelir?"" gibi belirli bilgileri soran doğrudan sorular olgusal sorulara örnektir.",Olgusal,131
Kavramsal sorular neyi amaçlar?,"Kavramsal sorular, içeriğin ardındaki fikirleri ve temel prensipleri araştırmayı amaçlar.",Kavramsal,131
Bağlamsal soruların odak noktası nedir?,"Bağlamsal sorular, konunun daha geniş bağlamı, arka planı veya ilgili olaylar hakkında bilgi edinmeyi amaçlar.",Bağlamsal,131
