question,answer,question_type,page
Toplumsal hayatta kadına verilen değeri gösteren geçmişten bir örnek verebilir misiniz?,Osmanlı İmparatorluğu'nda kadınların vakıflar kurarak sosyal hayata katkıda bulunmaları geçmişten bir örnektir.,Olgusal,41
Günümüzden toplumsal hayatta kadına verilen değeri gösteren bir örnek nedir?,Günümüzde kadınların parlamentolarda temsil edilme oranının artması ve üst düzey yönetici pozisyonlarında bulunmaları güncel bir örnektir.,Olgusal,41
Kadınlara verilen değerin toplumsal hayata etkisi nelerdir?,"Kadınlara verilen değerin artması, toplumun daha adil ve kapsayıcı olmasına, ekonomik kalkınmaya ve sosyal refahın artmasına katkıda bulunur.",Yansıtıcı,41
Geçmişte kadınlara verilen değerin günümüze göre farklılıkları nelerdir?,"Geçmişte kadınların toplumsal rolleri genellikle ev işleri ve çocuk bakımı ile sınırlıyken, günümüzde eğitim, iş hayatı ve siyasette daha aktif rol almaktadırlar.",Analitik,41
Kadınlara değer verilmemesinin olası sonuçları neler olabilir?,"Kadınlara değer verilmemesi, toplumsal eşitsizliğin artmasına, ekonomik kalkınmanın yavaşlamasına ve sosyal huzursuzluğa yol açabilir.",Varsayımsal,41
Kadınlara verilen değeri artırmak için neler yapılabilir?,"Kadınlara verilen değeri artırmak için eğitimde fırsat eşitliği sağlanmalı, ayrımcılıkla mücadele edilmeli ve kadınların güçlenmesi desteklenmelidir.",Yöntemsel,41
Toplumsal hayatta kadına verilen değer neden önemlidir?,"Toplumsal hayatta kadına verilen değer, insan haklarının bir gereği olmasının yanı sıra, toplumun genel refahı ve gelişimi için de kritik öneme sahiptir.",Kavramsal,41
Kadınlara verilen değerin ölçütleri neler olabilir?,"Kadınların eğitim seviyesi, iş gücüne katılım oranı, siyasi temsil düzeyi ve yasal hakları gibi faktörler kadınlara verilen değerin ölçütleri olarak kabul edilebilir.",Listeleme,41
Bu konudan çıkarılacak ana ders nedir?,"Toplumsal hayatta kadına verilen değer, adil, eşitlikçi ve gelişmiş bir toplumun temelidir. Geçmişten dersler çıkararak günümüzde bu değeri daha da yükseltmek hepimizin sorumluluğundadır.",Özetleme,41
Eğer kadınlar toplumsal hayatta daha az değer görürse ne gibi sorunlar ortaya çıkabilir?,"Eğer kadınlar toplumsal hayatta daha az değer görürse, eğitimde geri kalma, ekonomik bağımsızlıklarını kaybetme, şiddete maruz kalma ve siyasi karar alma süreçlerinden dışlanma gibi sorunlar ortaya çıkabilir.",Varsayımsal,41
Doğal sistemler bağlamında 'küresel bağlantılar' ne anlama gelir?,"'Küresel bağlantılar', doğal sistemlerin uluslararası ilişkiler ve günümüzdeki alışkanlıklar gibi çeşitli unsurlar aracılığıyla birbirleriyle nasıl etkileşimde bulunduğunu ve birbirine bağlı olduğunu ifade eder.",Kavramsal,42
